accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty
a2022010404534,0.099136,51.437074,1,1,14/10/2022,11:23,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,35,Fatal,"In carriageway, crossing elsewhere",Adult
a2022010403193,0.131335,51.481521,1,2,06/10/2022,19:34,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,20,Slight,"In centre of carriageway, not on refuge",Adult
a2022010403193,0.131335,51.481521,1,2,06/10/2022,19:34,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,20,Slight,"In centre of carriageway, not on refuge",Adult
a2022010402667,0.100034,51.422777,1,1,29/09/2022,16:00,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,18,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010402153,0.122016,51.483048,1,1,29/09/2022,16:48,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,35,Slight,"In carirageway, not crossing",Adult
a2022010401600,0.13835,51.449504,1,1,28/09/2022,08:05,Roundabout,30,Roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Slight,"In carriageway, crossing elsewhere",Child
a2022010401253,0.09816,51.44309,1,1,23/09/2022,19:20,One-way street,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,36,Slight,"In centre of carriageway, not on refuge",Adult
a2022010401189,0.137278,51.45768,1,1,25/09/2022,22:10,Single carriageway,30,Not at or within 20 metres of junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,1,Dry,Male,46,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2022010400942,0.103129,51.45069,1,1,24/09/2022,01:00,Single carriageway,30,Junction more than four arms,"Pelican, puffin, toucan",Darkness: street lights present and lit,1,Dry,Male,22,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010400769,0.134261,51.493581,1,1,23/09/2022,08:40,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Daylight,1,Wet,Male,7,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2022010399799,0.177447,51.48079,1,1,16/09/2022,20:28,Roundabout,30,Roundabout,Zebra Crossing,Darkness: street lights present and lit,8,Dry,Male,31,Slight,"In carriageway, crossing elsewhere",Adult
a2022010399482,0.100808,51.426469,1,1,13/09/2022,11:30,Single carriageway,30,Crossroads,Pedestrian phase,Daylight,2,Wet,Male,25,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
