accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty
a2021010318389,0.146746,51.4656,1,1,10/07/2021,14:21,Single carriageway,30,Junction more than four arms,Zebra Crossing,Daylight,1,Dry,Female,83,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010316454,0.153332,51.461144,1,1,29/06/2021,14:43,Single carriageway,30,Mini roundabout,Central refuge,Daylight,1,Dry,Male,83,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010315964,0.123483,51.465061,1,1,26/06/2021,23:23,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,17,Slight,"In carriageway, crossing elsewhere",Child
a2021010314999,0.103567,51.460267,1,1,21/06/2021,16:57,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,2,Wet,Male,13,Slight,"In centre of carriageway, not on refuge",Child
a2021010314055,0.116921,51.477563,1,1,16/06/2021,15:23,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,61,Slight,Unknown,Adult
a2021010313313,0.18105,51.480875,1,1,13/06/2021,12:13,One-way street,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,78,Slight,On footway or verge,Adult
a2021010312340,0.143008,51.457125,1,1,08/06/2021,15:14,Dual carriageway,20,Not at or within 20 metres of junction,"Pelican, puffin, toucan",Daylight,1,Dry,Male,13,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2021010312318,0.129443,51.496249,1,1,08/06/2021,15:18,Dual carriageway,30,Not at or within 20 metres of junction,Central refuge,Daylight,1,Dry,Female,13,Slight,"In carriageway, crossing elsewhere",Child
a2021010311374,0.101334,51.427969,1,1,04/06/2021,00:44,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,22,Slight,"In carriageway, crossing elsewhere",Adult
a2021010307460,0.105543,51.425006,1,1,15/05/2021,12:40,Single carriageway,30,Roundabout,Zebra Crossing,Daylight,1,Wet,Female,69,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010306093,0.181072,51.466855,1,1,07/05/2021,14:20,Dual carriageway,40,Crossroads,"Pelican, puffin, toucan",Daylight,1,Dry,Male,26,Slight,"In centre of carriageway, not on refuge",Adult
a2021010304481,0.148092,51.477689,1,1,29/04/2021,13:25,Single carriageway,30,Crossroads,No physical crossing facility within 50m,Daylight,1,Dry,Female,80,Serious,Unknown,Adult
a2021010303268,0.15286,51.459085,1,1,23/04/2021,07:11,Single carriageway,30,Junction more than four arms,"Pelican, puffin, toucan",Daylight,1,Dry,Male,60,Slight,"In carriageway, crossing elsewhere",Adult
a2021010300340,0.151897,51.455442,1,1,06/04/2021,14:02,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,17,Slight,"In carriageway, crossing elsewhere",Child
a2021010299915,0.159661,51.472305,1,1,03/04/2021,17:20,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,15,Slight,"In carirageway, not crossing",Child
a2021010295424,0.153023,51.459181,1,1,05/03/2021,19:45,One-way street,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,21,Slight,On footway or verge,Adult
a2021010295033,0.127562,51.438539,1,1,03/03/2021,07:22,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,8,Dry,,30,Slight,Unknown,Adult
a2021010293763,0.11404,51.448901,1,1,22/02/2021,14:12,Dual carriageway,30,T or staggered junction,Zebra Crossing,Daylight,1,Wet,Female,10,Serious,"In carriageway, crossing elsewhere",Child
a2021010292323,0.17982,51.481959,1,1,01/02/2021,08:00,Unknown,30,Other,Unknown,Daylight,1,Dry,Male,15,Serious,"In carriageway, crossing on pedestrian crossing facility",Child
a2021010290927,0.178822,51.470413,1,1,27/01/2021,01:00,Dual carriageway,40,T or staggered junction,Unknown,Darkness: street lights present and lit,2,Wet,Male,25,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010289830,0.159467,51.464863,1,1,23/01/2021,05:35,Slip road,20,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lighting unknown,1,Dry,Male,44,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010289669,0.125543,51.466004,1,1,22/01/2021,11:27,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,24,Slight,"In carriageway, crossing elsewhere",Adult
a2021010288927,0.15803,51.476202,2,1,15/01/2021,20:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,41,Slight,"In carirageway, not crossing",Adult
a2021010287525,0.157948,51.467148,1,1,04/01/2021,19:00,Slip road,30,Other,Zebra Crossing,Darkness: street lights present and lit,1,Wet,Female,30,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010287052,0.178707,51.480073,1,1,31/12/2020,12:42,Slip road,20,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1,Wet,Female,34,Slight,Unknown,Adult
a2020010286642,0.10373,51.429697,1,1,27/12/2020,13:22,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Wet,Male,6,Slight,"In carirageway, not crossing",Child
a2020010285539,0.180989,51.466937,1,1,18/12/2020,21:16,Dual carriageway,40,Crossroads,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Female,40,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010285263,0.124068,51.466175,1,2,17/12/2020,11:43,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Wet,Male,63,Serious,"In carriageway, crossing elsewhere",Adult
a2020010285263,0.124068,51.466175,1,2,17/12/2020,11:43,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Wet,Female,58,Serious,"In carriageway, crossing elsewhere",Adult
a2020010284578,0.124821,51.448319,1,1,14/12/2020,14:53,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Wet,Male,27,Slight,"In carirageway, not crossing",Adult
a2020010283000,0.1207,51.433915,2,1,05/12/2020,23:50,Slip road,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lighting unknown,9,Dry,Male,41,Slight,Unknown,Adult
a2020010282422,0.145185,51.48571,1,1,03/12/2020,08:22,Dual carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,20,Slight,"In carriageway, crossing elsewhere",Adult
a2020010280506,0.147389,51.457216,1,1,20/11/2020,16:15,Single carriageway,30,Crossroads,Central refuge,Darkness: street lights present and lit,1,Dry,Male,49,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010279677,0.182511,51.467152,1,1,16/11/2020,15:14,Dual carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,10,Slight,On footway or verge,Child
a2020010279673,0.178718,51.451592,1,1,15/11/2020,01:00,Unknown,20,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Female,50,Slight,Unknown,Adult
a2020010279192,0.115881,51.416816,1,1,13/11/2020,13:00,Single carriageway,30,Using private drive or entrance,No physical crossing facility within 50m,Daylight,1,Dry,Male,52,Slight,"In carriageway, crossing elsewhere",Adult
a2020010278864,0.158187,51.489581,2,1,11/11/2020,14:52,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,-1,Slight,On footway or verge,Child
a2020010277162,0.101054,51.424367,1,1,02/11/2020,08:40,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Wet,Male,10,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2020010274565,0.132193,51.49529,1,1,19/10/2020,09:15,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,42,Slight,"In carriageway, crossing elsewhere",Adult
a2020010274337,0.181125,51.466764,1,1,17/10/2020,17:37,Dual carriageway,40,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,62,Serious,"In carriageway, crossing elsewhere",Adult
a2020010273858,0.108561,51.448685,1,1,01/10/2020,14:30,Unknown,20,Not at or within 20 metres of junction,Unknown,Daylight,9,Unknown,Male,61,Slight,Unknown,Adult
a2020010272257,0.150833,51.441388,1,1,02/10/2020,19:15,Unknown,30,Not at or within 20 metres of junction,Unknown,Darkness: street lights present and lit,2,Unknown,Male,45,Slight,Unknown,Adult
a2020010272251,0.151933,51.45438,1,1,06/10/2020,15:05,Dual carriageway,30,Roundabout,Zebra Crossing,Daylight,1,Dry,Male,12,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2020010272195,0.102248,51.4344,1,1,06/10/2020,09:10,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,9,Slight,"In carriageway, crossing elsewhere",Child
a2020010271941,0.12939,51.496348,1,1,05/10/2020,09:24,Dual carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2,Wet,Male,12,Serious,"In carriageway, crossing elsewhere",Child
a2020010271310,0.136474,51.494412,1,1,02/10/2020,08:05,Dual carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,5,Wet,Male,12,Slight,"In carriageway, crossing elsewhere",Child
a2020010270985,0.107384,51.450001,1,1,30/09/2020,14:45,Single carriageway,30,Junction more than four arms,No physical crossing facility within 50m,Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing elsewhere",Child
a2020010269964,0.18241,51.471371,1,1,25/09/2020,08:45,Single carriageway,20,Other,No physical crossing facility within 50m,Daylight,2,Wet,Male,9,Slight,"In carirageway, not crossing",Child
a2020010269306,0.108186,51.463332,1,1,22/09/2020,11:29,Single carriageway,30,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1,Dry,Female,82,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010268652,0.140711,51.451411,1,1,18/09/2020,15:20,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,10,Serious,"In carirageway, not crossing",Child
a2020010267937,0.139719,51.490486,1,1,15/09/2020,07:15,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Female,13,Slight,"In carirageway, not crossing",Child
a2020010266490,0.094036,51.439188,1,1,08/09/2020,11:39,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,40,Slight,"In carriageway, crossing elsewhere",Adult
a2020010266431,0.097493,51.460592,1,1,08/09/2020,08:05,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,30,Slight,"In centre of carriageway, not on refuge",Adult
a2020010266041,0.138146,51.45751,1,1,06/09/2020,00:57,Single carriageway,20,Other,Central refuge,Darkness: street lights present and lit,1,Dry,Male,31,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010265493,0.138577,51.439948,1,1,03/09/2020,08:50,Single carriageway,30,Not at or within 20 metres of junction,Central refuge,Daylight,1,Dry,Male,-1,Slight,Unknown,Child
a2020010265466,0.138815,51.440106,1,1,01/09/2020,08:52,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,43,Slight,"In carirageway, not crossing",Adult
a2020010262375,0.162764,51.456034,2,1,16/08/2020,13:56,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,31,Serious,"In carirageway, not crossing",Adult
a2020010258699,0.100166,51.451093,1,1,27/07/2020,07:30,Single carriageway,30,Not at or within 20 metres of junction,Pedestrian phase,Daylight,9,Wet,Male,-1,Slight,"In carriageway, crossing elsewhere",Child
a2020010257428,0.127588,51.4988,1,1,19/07/2020,23:54,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,55,Slight,"In carirageway, not crossing",Adult
a2020010256923,0.150654,51.442182,1,1,15/07/2020,13:40,Single carriageway,20,T or staggered junction,Zebra Crossing,Daylight,1,Dry,Female,67,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010256442,0.147592,51.456645,1,1,13/07/2020,13:50,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,69,Serious,"In carriageway, crossing elsewhere",Adult
a2020010254750,0.17972,51.478355,1,2,03/07/2020,15:33,Dual carriageway,30,Other,Pedestrian phase,Daylight,1,Dry,Female,14,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2020010254041,0.147931,51.465074,1,1,29/06/2020,19:00,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,15,Slight,"In carriageway, crossing elsewhere",Child
a2020010253044,0.181036,51.480884,1,1,16/06/2020,10:00,One-way street,30,T or staggered junction,Zebra Crossing,Daylight,9,Unknown,Female,84,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2020010252989,0.151809,51.496362,1,1,23/06/2020,08:10,Unknown,30,Unknown,Unknown,Daylight,8,Dry,Male,51,Slight,"In carirageway, not crossing",Adult
a2020010252132,0.161448,51.490303,1,1,17/06/2020,15:58,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,12,Serious,Unknown,Child
a2020010250714,0.110492,51.473686,1,1,01/06/2020,17:00,Unknown,30,Using private drive or entrance,Unknown,Daylight,1,Dry,Male,16,Serious,"In carriageway, crossing elsewhere",Child
a2020010246785,0.106566,51.468496,1,1,05/05/2020,14:05,Dual carriageway,30,Crossroads,No physical crossing facility within 50m,Daylight,1,Dry,Male,83,Slight,"In carriageway, crossing elsewhere",Adult
a2020010246621,0.127974,51.452354,1,1,03/05/2020,18:45,Single carriageway,30,Mini roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Female,43,Slight,"In carriageway, crossing elsewhere",Adult
a2020010246265,0.103364,51.451152,1,1,28/04/2020,07:23,Single carriageway,30,Not at or within 20 metres of junction,Unknown,Daylight,2,Wet,Female,54,Slight,On footway or verge,Adult
a2020010246042,0.149517,51.464218,2,3,27/04/2020,10:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,46,Slight,"In carirageway, not crossing",Adult
a2020010246042,0.149517,51.464218,2,3,27/04/2020,10:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,14,Slight,"In carirageway, not crossing",Child
a2020010244132,0.154159,51.453053,1,1,19/03/2020,08:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Slight,"In carriageway, crossing elsewhere",Child
a2020010243148,0.19072,51.458168,1,1,21/03/2020,10:08,Dual carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,52,Slight,"In carirageway, not crossing",Adult
a2020010242330,0.16595,51.497145,1,1,16/03/2020,07:00,Unknown,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,20,Slight,"In carirageway, not crossing",Adult
a2020010242061,0.123699,51.459787,1,1,14/03/2020,15:40,Single carriageway,30,Other,"Pelican, puffin, toucan",Daylight,1,Dry,Female,11,Serious,"In carriageway, crossing on pedestrian crossing facility",Child
a2020010241845,0.112253,51.461946,1,1,12/03/2020,08:15,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,15,Slight,"In carriageway, crossing elsewhere",Child
a2020010240433,0.177186,51.470524,1,1,23/02/2020,23:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Male,48,Slight,Unknown,Adult
a2020010240229,0.087453,51.430186,1,1,05/03/2020,15:20,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,5,Wet,Female,72,Serious,"In carriageway, crossing elsewhere",Adult
a2020010236777,0.109855,51.465496,1,1,15/02/2020,18:59,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,5,Wet,Female,31,Slight,"In carriageway, crossing elsewhere",Adult
a2020010235941,0.193143,51.467565,6,1,11/02/2020,16:44,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,4,Dry,Female,20,Slight,On footway or verge,Adult
a2020010235845,0.152976,51.455728,1,1,11/02/2020,11:20,Roundabout,30,Roundabout,"Pelican, puffin, toucan",Daylight,1,Dry,Female,29,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010235620,0.181744,51.464342,1,1,10/02/2020,09:15,Dual carriageway,40,Not at or within 20 metres of junction,Pedestrian phase,Daylight,4,Dry,Female,70,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2020010235605,0.125935,51.459585,1,1,10/02/2020,09:35,Single carriageway,30,Other,"Pelican, puffin, toucan",Daylight,1,Dry,Male,1,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2020010235520,0.126843,51.499191,1,1,09/02/2020,14:20,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,5,Wet,Female,10,Slight,"In carriageway, crossing elsewhere",Child
a2020010234921,0.145308,51.477605,1,1,06/02/2020,16:20,Unknown,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,12,Slight,Unknown,Child
a2020010234759,0.102776,51.424912,1,1,05/02/2020,14:30,Single carriageway,20,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,56,Slight,Unknown,Adult
a2020010234682,0.142771,51.456967,1,1,05/02/2020,15:00,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,15,Slight,"In carriageway, crossing elsewhere",Child
a2020010234441,0.12758,51.458422,1,1,04/02/2020,08:57,Dual carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,38,Slight,"In carriageway, crossing elsewhere",Adult
a2020010233253,0.162714,51.475369,1,1,28/01/2020,18:00,Single carriageway,20,Crossroads,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,60,Slight,"In carriageway, crossing within zig-zag lines at crossing approach",Adult
a2020010232972,0.100866,51.436574,1,1,27/01/2020,15:40,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Female,11,Slight,"In carriageway, crossing elsewhere",Child
a2020010232885,0.122285,51.41411,1,1,27/01/2020,07:00,Single carriageway,30,Using private drive or entrance,Pedestrian phase,Daylight,1,Dry,Male,32,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010232268,0.138246,51.493786,1,1,23/01/2020,15:30,Single carriageway,30,Roundabout,Zebra Crossing,Daylight,1,Dry,Male,13,Slight,"In carriageway, crossing elsewhere",Child
a2020010231930,0.100767,51.456972,1,1,22/01/2020,08:06,Slip road,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Wet,Female,16,Slight,Unknown,Child
a2020010231776,0.108024,51.463578,1,1,21/01/2020,12:37,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,25,Slight,"In carirageway, not crossing",Adult
a2020010231013,0.148443,51.484247,1,1,17/01/2020,10:50,Roundabout,30,Roundabout,Zebra Crossing,Daylight,1,Wet,Female,53,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010230827,0.093375,51.43857,1,1,14/01/2020,06:49,Roundabout,30,Crossroads,Central refuge,Darkness: street lights present and lit,2,Wet,Male,36,Slight,"In carriageway, crossing elsewhere",Adult
a2020010230740,0.13483,51.462004,1,1,16/01/2020,07:10,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,57,Slight,"In carriageway, crossing elsewhere",Adult
a2020010230307,0.146817,51.46558,1,1,14/01/2020,19:55,Single carriageway,30,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,5,Wet,Male,23,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2020010230188,0.119065,51.448019,1,1,13/01/2020,11:25,Roundabout,30,Roundabout,Central refuge,Daylight,8,Dry,Female,20,Slight,"In carriageway, crossing elsewhere",Adult
a2020010230129,0.134084,51.45682,1,1,08/01/2020,10:14,Slip road,30,Unknown,Unknown,Daylight,1,Dry,Male,40,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010238247,0.163174,51.476566,1,2,19/10/2019,04:30,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,33,Serious,On footway or verge,Adult
a2019010238247,0.163174,51.476566,1,2,19/10/2019,04:30,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,26,Fatal,On footway or verge,Adult
a2019010225459,0.157754,51.466081,1,1,16/12/2019,18:15,Single carriageway,30,Mini roundabout,Central refuge,Darkness: street lights present and lit,2,Wet,Male,42,Slight,"In carriageway, crossing elsewhere",Adult
a2019010223966,0.173201,51.485724,1,1,09/12/2019,19:20,Roundabout,30,Roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,41,Serious,"In carriageway, crossing elsewhere",Adult
a2019010223322,0.135041,51.43879,1,1,06/12/2019,18:05,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present but unlit,2,Wet,Female,36,Slight,"In carriageway, crossing elsewhere",Adult
a2019010222155,0.152913,51.440333,1,1,02/12/2019,11:08,Single carriageway,20,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,58,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010221413,0.151386,51.491055,1,1,28/11/2019,16:45,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,2,Wet,Female,62,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2019010220594,0.18616,51.449206,1,1,22/11/2019,17:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Female,37,Slight,"In centre of carriageway, not on refuge",Adult
a2019010218677,0.150952,51.44269,1,1,14/11/2019,18:00,Unknown,30,T or staggered junction,Unknown,Darkness: street lights present and lit,8,Wet,Male,28,Slight,"In carriageway, crossing elsewhere",Adult
a2019010216768,0.181364,51.474781,1,1,07/11/2019,16:25,Dual carriageway,30,Crossroads,Pedestrian phase,Daylight,1,Dry,Male,11,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2019010216143,0.14907,51.491439,1,1,04/11/2019,17:18,Single carriageway,30,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,2,Wet,Female,21,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010215984,0.128249,51.490101,1,1,04/11/2019,08:00,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Wet,Male,14,Slight,"In carriageway, crossing elsewhere",Child
a2019010215591,0.177105,51.44977,1,1,02/11/2019,11:35,Single carriageway,30,T or staggered junction,Zebra Crossing,Daylight,2,Wet,Female,55,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2019010215033,0.181873,51.449843,1,1,30/10/2019,17:30,Slip road,20,Roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Male,-1,Slight,Unknown,Child
a2019010213951,0.162821,51.483101,1,1,22/10/2019,12:20,Dual carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,3,Dry,Male,44,Slight,"In carirageway, not crossing",Adult
a2019010213717,0.1463,51.457937,1,1,24/10/2019,10:45,One-way street,20,Other,No physical crossing facility within 50m,Daylight,2,Wet,Female,11,Serious,"In centre of carriageway, not on refuge",Child
a2019010213636,0.083333,51.457571,2,1,23/10/2019,21:20,Slip road,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,27,Slight,On footway or verge,Adult
a2019010213091,0.107381,51.46242,1,1,29/08/2019,17:20,Single carriageway,30,T or staggered junction,Unknown,Daylight,1,Dry,Male,50,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010212396,0.179523,51.450678,1,1,17/10/2019,18:55,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,2,Wet,Female,50,Slight,"In carriageway, crossing elsewhere",Adult
a2019010210148,0.129937,51.443199,1,1,07/10/2019,15:20,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,2,Wet,Male,11,Serious,"In carriageway, crossing elsewhere",Child
a2019010207398,0.110058,51.465529,1,1,24/09/2019,08:15,Single carriageway,20,T or staggered junction,Zebra Crossing,Daylight,2,Wet,Male,11,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2019010206926,0.093694,51.457171,1,1,21/09/2019,22:20,Single carriageway,30,Other,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,23,Serious,"In carirageway, not crossing",Adult
a2019010206513,0.152104,51.444539,1,1,20/09/2019,08:34,Dual carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,63,Slight,"In carriageway, crossing elsewhere",Adult
a2019010206200,0.11749,51.441033,1,1,18/09/2019,16:30,Dual carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,73,Serious,"In carriageway, crossing elsewhere",Adult
a2019010204427,0.12218,51.506434,1,1,10/09/2019,07:20,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,9,Slight,"In carriageway, crossing elsewhere",Child
a2019010203641,0.133914,51.456571,1,1,06/09/2019,06:41,Single carriageway,30,Unknown,No physical crossing facility within 50m,Daylight,1,Dry,Female,32,Slight,Unknown,Adult
a2019010203480,0.116604,51.447389,1,1,04/09/2019,15:50,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,21,Slight,"In carriageway, crossing elsewhere",Adult
a2019010203271,0.144063,51.455972,1,1,04/09/2019,11:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,86,Slight,"In carriageway, crossing elsewhere",Adult
a2019010202034,0.099715,51.426541,1,1,28/08/2019,13:45,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,35,Slight,On footway or verge,Adult
a2019010199740,0.179256,51.480405,1,1,15/08/2019,16:05,One-way street,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,3,Slight,"In carirageway, not crossing",Child
a2019010199670,0.121542,51.489926,1,1,15/08/2019,14:10,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,9,Slight,"In carriageway, crossing elsewhere",Child
a2019010198673,0.145987,51.466306,1,1,12/07/2019,00:00,Single carriageway,30,Unknown,Unknown,Darkness: street lights present and lit,9,Dry,Male,29,Serious,Unknown,Adult
a2019010198078,0.178894,51.451364,1,1,06/08/2019,11:00,One-way street,30,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Female,26,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010195828,0.108763,51.464302,1,1,12/07/2019,14:45,Unknown,30,T or staggered junction,Unknown,Daylight,1,Dry,Female,58,Slight,Unknown,Adult
a2019010195222,0.151753,51.490913,1,1,16/07/2019,19:45,Single carriageway,30,Unknown,Zebra Crossing,Daylight,8,Dry,Female,57,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
