accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty,type,year,label,name,is_surveyed,num_collisions_dimitri,distance_to_collision,project,num_collisions_bexley,avg_four_peak_adpv2,max_one_hour_adpv2
a2021010345723,0.119331,51.460595,1.0,1.0,2021-11-24,06:30,Unknown,30.0,Unknown,Unknown,Darkness: street lights present and lit,1.0,Unknown,Male,29.0,Slight,On footway or verge,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010345190,0.117032,51.447624,1.0,1.0,2021-11-18,16:00,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,9.0,Dry,Female,11.0,Slight,Unknown,Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010345174,0.182494,51.467098,1.0,1.0,2021-11-21,09:00,Single carriageway,20.0,Unknown,Pedestrian phase,Daylight,1.0,Dry,Female,18.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010344389,0.124154,51.439536,1.0,1.0,2021-11-16,18:51,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2.0,Wet,Male,50.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010343061,0.109942,51.468957,2.0,2.0,2021-10-11,16:07,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,32.0,Slight,On footway or verge,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010343061,0.109942,51.468957,2.0,2.0,2021-10-11,16:07,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,68.0,Serious,On footway or verge,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010342965,0.119415,51.43258,1.0,1.0,2021-10-11,08:30,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,11.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010342828,0.152307,51.484329,1.0,1.0,2021-09-11,16:30,Dual carriageway,30.0,T or staggered junction,Central refuge,Daylight,1.0,Dry,Male,8.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010342126,0.107341,51.450011,1.0,1.0,2021-06-11,12:14,Single carriageway,30.0,Not at or within 20 metres of junction,Central refuge,Daylight,1.0,Dry,Female,52.0,Fatal,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010341342,0.142312,51.472974,1.0,1.0,2021-02-11,15:25,Single carriageway,30.0,Not at or within 20 metres of junction,Central refuge,Daylight,1.0,Dry,Male,10.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010339901,0.149623,51.43677,1.0,1.0,2021-10-26,18:15,Single carriageway,30.0,Unknown,Unknown,Daylight,1.0,Dry,Male,34.0,Slight,On footway or verge,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010338842,0.133708,51.466962,1.0,1.0,2021-10-21,11:36,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,21.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010338748,0.143052,51.410423,1.0,1.0,2021-10-20,20:10,Single carriageway,50.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lighting unknown,2.0,Wet,Male,44.0,Fatal,Unknown,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010338474,0.152163,51.454988,1.0,1.0,2021-10-19,15:23,Roundabout,30.0,Roundabout,Central refuge,Daylight,1.0,Dry,Female,12.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010338428,0.110755,51.47128,1.0,1.0,2021-10-19,13:15,Single carriageway,30.0,T or staggered junction,Central refuge,Daylight,1.0,Dry,Female,41.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010337744,0.171177,51.471634,1.0,1.0,2021-10-15,16:06,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,11.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010337384,0.115873,51.461143,1.0,2.0,2021-10-14,08:20,Single carriageway,30.0,T or staggered junction,Central refuge,Daylight,1.0,Dry,Male,45.0,Slight,On refuge or central island,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010337384,0.115873,51.461143,1.0,2.0,2021-10-14,08:20,Single carriageway,30.0,T or staggered junction,Central refuge,Daylight,1.0,Dry,Female,8.0,Slight,On refuge or central island,Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010337056,0.114102,51.467983,1.0,1.0,2021-12-10,15:34,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,13.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010333066,0.155035,51.474989,1.0,1.0,2021-09-23,17:03,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,29.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010332848,0.136918,51.457722,1.0,1.0,2021-09-22,15:40,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,23.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010331013,0.102067,51.43015,1.0,1.0,2021-09-13,18:52,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Female,12.0,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010331001,0.117848,51.439147,1.0,1.0,2021-09-13,15:05,Single carriageway,30.0,Roundabout,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,11.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010330365,0.168024,51.452528,1.0,1.0,2021-05-09,00:30,Single carriageway,30.0,Unknown,No physical crossing facility within 50m,Darkness: street lighting unknown,1.0,Dry,Male,38.0,Slight,Unknown,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010329609,0.191929,51.459971,1.0,1.0,2021-07-09,06:07,Roundabout,40.0,Roundabout,Central refuge,Daylight,1.0,Dry,Female,67.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010327865,0.091447,51.462184,1.0,1.0,2021-08-27,21:00,Unknown,30.0,Unknown,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,58.0,Slight,On footway or verge,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010326062,0.145521,51.457304,1.0,1.0,2021-08-23,18:45,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,38.0,Slight,On footway or verge,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010324964,0.190731,51.473123,1.0,1.0,2021-04-08,11:22,Unknown,20.0,Unknown,Unknown,Daylight,9.0,Unknown,Male,-1.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010324748,0.126912,51.473776,1.0,1.0,2021-08-16,10:25,Unknown,30.0,Slip road,Zebra Crossing,Daylight,1.0,Dry,Female,84.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010324527,0.088381,51.450836,1.0,1.0,2021-08-14,15:21,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,62.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010323892,0.15348,51.451159,1.0,1.0,2021-11-08,13:45,Single carriageway,30.0,T or staggered junction,Central refuge,Daylight,1.0,Dry,Female,87.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010323064,0.191193,51.456315,1.0,1.0,2021-05-08,17:40,Single carriageway,30.0,Crossroads,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,51.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010320928,0.152954,51.438759,1.0,1.0,2021-07-23,11:15,Unknown,20.0,Mini roundabout,Unknown,Daylight,9.0,Unknown,Female,30.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010320181,0.1413,51.491024,1.0,1.0,2021-07-21,09:10,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,9.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010319789,0.176362,51.471969,1.0,1.0,2021-07-15,09:30,Single carriageway,30.0,Not at or within 20 metres of junction,Unknown,Daylight,1.0,Dry,Male,59.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010319475,0.134099,51.46887,1.0,1.0,2021-07-17,01:15,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Female,17.0,Slight,Unknown,Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010318947,0.186214,51.478333,1.0,1.0,2021-07-13,15:00,Single carriageway,30.0,Other,"Pelican, puffin, toucan",Daylight,1.0,Dry,Male,17.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010318389,0.146746,51.4656,1.0,1.0,2021-10-07,14:21,Single carriageway,30.0,Junction more than four arms,Zebra Crossing,Daylight,1.0,Dry,Female,83.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010316454,0.153332,51.461144,1.0,1.0,2021-06-29,14:43,Single carriageway,30.0,Mini roundabout,Central refuge,Daylight,1.0,Dry,Male,83.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010315964,0.123483,51.465061,1.0,1.0,2021-06-26,23:23,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,17.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010314999,0.103567,51.460267,1.0,1.0,2021-06-21,16:57,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,2.0,Wet,Male,13.0,Slight,"In centre of carriageway, not on refuge",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010314055,0.116921,51.477563,1.0,1.0,2021-06-16,15:23,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,61.0,Slight,Unknown,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010313313,0.18105,51.480875,1.0,1.0,2021-06-13,12:13,One-way street,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,78.0,Slight,On footway or verge,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010312340,0.143008,51.457125,1.0,1.0,2021-08-06,15:14,Dual carriageway,20.0,Not at or within 20 metres of junction,"Pelican, puffin, toucan",Daylight,1.0,Dry,Male,13.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010312318,0.129443,51.496249,1.0,1.0,2021-08-06,15:18,Dual carriageway,30.0,Not at or within 20 metres of junction,Central refuge,Daylight,1.0,Dry,Female,13.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010311374,0.101334,51.427969,1.0,1.0,2021-04-06,00:44,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Female,22.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010307460,0.105543,51.425006,1.0,1.0,2021-05-15,12:40,Single carriageway,30.0,Roundabout,Zebra Crossing,Daylight,1.0,Wet,Female,69.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010306093,0.181072,51.466855,1.0,1.0,2021-07-05,14:20,Dual carriageway,40.0,Crossroads,"Pelican, puffin, toucan",Daylight,1.0,Dry,Male,26.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010304481,0.148092,51.477689,1.0,1.0,2021-04-29,13:25,Single carriageway,30.0,Crossroads,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,80.0,Serious,Unknown,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010303268,0.15286,51.459085,1.0,1.0,2021-04-23,07:11,Single carriageway,30.0,Junction more than four arms,"Pelican, puffin, toucan",Daylight,1.0,Dry,Male,60.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010300340,0.151897,51.455442,1.0,1.0,2021-06-04,14:02,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,17.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010299915,0.159661,51.472305,1.0,1.0,2021-03-04,17:20,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,15.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010295424,0.153023,51.459181,1.0,1.0,2021-05-03,19:45,One-way street,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Female,21.0,Slight,On footway or verge,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010295033,0.127562,51.438539,1.0,1.0,2021-03-03,07:22,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,8.0,Dry,,30.0,Slight,Unknown,Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010293763,0.11404,51.448901,1.0,1.0,2021-02-22,14:12,Dual carriageway,30.0,T or staggered junction,Zebra Crossing,Daylight,1.0,Wet,Female,10.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010292323,0.17982,51.481959,1.0,1.0,2021-01-02,08:00,Unknown,30.0,Other,Unknown,Daylight,1.0,Dry,Male,15.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010290927,0.178822,51.470413,1.0,1.0,2021-01-27,01:00,Dual carriageway,40.0,T or staggered junction,Unknown,Darkness: street lights present and lit,2.0,Wet,Male,25.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010289830,0.159467,51.464863,1.0,1.0,2021-01-23,05:35,Slip road,20.0,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lighting unknown,1.0,Dry,Male,44.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010289669,0.125543,51.466004,1.0,1.0,2021-01-22,11:27,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,24.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010288927,0.15803,51.476202,2.0,1.0,2021-01-15,20:00,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,41.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010287525,0.157948,51.467148,1.0,1.0,2021-04-01,19:00,Slip road,30.0,Other,Zebra Crossing,Darkness: street lights present and lit,1.0,Wet,Female,30.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2020010287052,0.178707,51.480073,1.0,1.0,2020-12-31,12:42,Slip road,20.0,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1.0,Wet,Female,34.0,Slight,Unknown,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010286642,0.10373,51.429697,1.0,1.0,2020-12-27,13:22,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Wet,Male,6.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010285539,0.180989,51.466937,1.0,1.0,2020-12-18,21:16,Dual carriageway,40.0,Crossroads,Pedestrian phase,Darkness: street lights present and lit,1.0,Dry,Female,40.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010285263,0.124068,51.466175,1.0,2.0,2020-12-17,11:43,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Wet,Male,63.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010285263,0.124068,51.466175,1.0,2.0,2020-12-17,11:43,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Wet,Female,58.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010284578,0.124821,51.448319,1.0,1.0,2020-12-14,14:53,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Wet,Male,27.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010283000,0.1207,51.433915,2.0,1.0,2020-05-12,23:50,Slip road,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lighting unknown,9.0,Dry,Male,41.0,Slight,Unknown,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010282422,0.145185,51.48571,1.0,1.0,2020-03-12,08:22,Dual carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,20.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010280506,0.147389,51.457216,1.0,1.0,2020-11-20,16:15,Single carriageway,30.0,Crossroads,Central refuge,Darkness: street lights present and lit,1.0,Dry,Male,49.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010279677,0.182511,51.467152,1.0,1.0,2020-11-16,15:14,Dual carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,10.0,Slight,On footway or verge,Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010279673,0.178718,51.451592,1.0,1.0,2020-11-15,01:00,Unknown,20.0,T or staggered junction,Pedestrian phase,Daylight,1.0,Dry,Female,50.0,Slight,Unknown,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010279192,0.115881,51.416816,1.0,1.0,2020-11-13,13:00,Single carriageway,30.0,Using private drive or entrance,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,52.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010278864,0.158187,51.489581,2.0,1.0,2020-11-11,14:52,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,-1.0,Slight,On footway or verge,Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010277162,0.101054,51.424367,1.0,1.0,2020-02-11,08:40,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Wet,Male,10.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010274565,0.132193,51.49529,1.0,1.0,2020-10-19,09:15,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,42.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010274337,0.181125,51.466764,1.0,1.0,2020-10-17,17:37,Dual carriageway,40.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,62.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010273858,0.108561,51.448685,1.0,1.0,2020-01-10,14:30,Unknown,20.0,Not at or within 20 metres of junction,Unknown,Daylight,9.0,Unknown,Male,61.0,Slight,Unknown,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010272257,0.150833,51.441388,1.0,1.0,2020-02-10,19:15,Unknown,30.0,Not at or within 20 metres of junction,Unknown,Darkness: street lights present and lit,2.0,Unknown,Male,45.0,Slight,Unknown,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010272251,0.151933,51.45438,1.0,1.0,2020-06-10,15:05,Dual carriageway,30.0,Roundabout,Zebra Crossing,Daylight,1.0,Dry,Male,12.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010272195,0.102248,51.4344,1.0,1.0,2020-06-10,09:10,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,9.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010271941,0.12939,51.496348,1.0,1.0,2020-05-10,09:24,Dual carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2.0,Wet,Male,12.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010271310,0.136474,51.494412,1.0,1.0,2020-02-10,08:05,Dual carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,5.0,Wet,Male,12.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010270985,0.107384,51.450001,1.0,1.0,2020-09-30,14:45,Single carriageway,30.0,Junction more than four arms,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,11.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010269964,0.18241,51.471371,1.0,1.0,2020-09-25,08:45,Single carriageway,20.0,Other,No physical crossing facility within 50m,Daylight,2.0,Wet,Male,9.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010269306,0.108186,51.463332,1.0,1.0,2020-09-22,11:29,Single carriageway,30.0,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1.0,Dry,Female,82.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010268652,0.140711,51.451411,1.0,1.0,2020-09-18,15:20,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,10.0,Serious,"In carirageway, not crossing",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010267937,0.139719,51.490486,1.0,1.0,2020-09-15,07:15,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,13.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010266490,0.094036,51.439188,1.0,1.0,2020-08-09,11:39,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,40.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010266431,0.097493,51.460592,1.0,1.0,2020-08-09,08:05,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,30.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010266041,0.138146,51.45751,1.0,1.0,2020-06-09,00:57,Single carriageway,20.0,Other,Central refuge,Darkness: street lights present and lit,1.0,Dry,Male,31.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010265493,0.138577,51.439948,1.0,1.0,2020-03-09,08:50,Single carriageway,30.0,Not at or within 20 metres of junction,Central refuge,Daylight,1.0,Dry,Male,-1.0,Slight,Unknown,Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010265466,0.138815,51.440106,1.0,1.0,2020-01-09,08:52,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,43.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010262375,0.162764,51.456034,2.0,1.0,2020-08-16,13:56,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,31.0,Serious,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010258699,0.100166,51.451093,1.0,1.0,2020-07-27,07:30,Single carriageway,30.0,Not at or within 20 metres of junction,Pedestrian phase,Daylight,9.0,Wet,Male,-1.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010257428,0.127588,51.4988,1.0,1.0,2020-07-19,23:54,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,55.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010256923,0.150654,51.442182,1.0,1.0,2020-07-15,13:40,Single carriageway,20.0,T or staggered junction,Zebra Crossing,Daylight,1.0,Dry,Female,67.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010256442,0.147592,51.456645,1.0,1.0,2020-07-13,13:50,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,69.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010254750,0.17972,51.478355,1.0,2.0,2020-03-07,15:33,Dual carriageway,30.0,Other,Pedestrian phase,Daylight,1.0,Dry,Female,14.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010254041,0.147931,51.465074,1.0,1.0,2020-06-29,19:00,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,15.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010253044,0.181036,51.480884,1.0,1.0,2020-06-16,10:00,One-way street,30.0,T or staggered junction,Zebra Crossing,Daylight,9.0,Unknown,Female,84.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
