accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty,type,year,label,name,is_surveyed,num_collisions_dimitri,distance_to_collision,project,num_collisions_bexley,avg_four_peak_adpv2,max_one_hour_adpv2
a2022010409173,0.099463,51.463642,1.0,1.0,2022-08-11,11:28,Single carriageway,30.0,T or staggered junction,"Pelican, puffin, toucan",Daylight,2.0,Wet,Female,57.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010409012,0.10309,51.465817,1.0,1.0,2022-07-11,17:05,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: no street lighting,2.0,Wet,Female,67.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010408454,0.107587,51.462498,2.0,1.0,2022-04-11,12:10,Single carriageway,30.0,T or staggered junction,Pedestrian phase,Daylight,1.0,Dry,Male,15.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010408433,0.148666,51.456797,1.0,1.0,2022-04-11,12:45,Slip road,20.0,Using private drive or entrance,Zebra Crossing,Daylight,1.0,Dry,Female,51.0,Serious,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010407112,0.181207,51.448507,1.0,1.0,2022-10-27,11:30,Single carriageway,20.0,Unknown,No physical crossing facility within 50m,Daylight,8.0,Dry,Female,15.0,Slight,"In centre of carriageway, not on refuge",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010406320,0.174844,51.471504,1.0,1.0,2022-10-24,16:20,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,70.0,Serious,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010406170,0.150659,51.441932,1.0,1.0,2022-10-22,17:00,Single carriageway,20.0,Using private drive or entrance,Zebra Crossing,Daylight,2.0,Wet,Male,68.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010406025,0.117327,51.417871,1.0,1.0,2022-10-22,15:48,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,5.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010405663,0.19521,51.47339,1.0,1.0,2022-10-20,16:05,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Wet,Male,16.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010404534,0.099136,51.437074,1.0,1.0,2022-10-14,11:23,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,35.0,Fatal,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010403193,0.131335,51.481521,1.0,2.0,2022-06-10,19:34,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Female,20.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010403193,0.131335,51.481521,1.0,2.0,2022-06-10,19:34,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,20.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010402667,0.100034,51.422777,1.0,1.0,2022-09-29,16:00,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Female,18.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
