borough,year,value,borough_right,inner_outer,area,population,party,value_per_capita
Merton,2024,1058000,Merton,Outer London,14.52,206548,Labour,5.122296028041908
Newham,2024,3979000,Newham,Outer London,13.98,353134,Labour,11.267677425566498
Redbridge,2024,2230000,Redbridge,Outer London,21.78,305222,Labour,7.306157485371304
Richmond upon Thames,2024,2047000,Richmond upon Thames,Outer London,22.17,198019,LibDem,10.33739186643706
Southwark,2024,2388000,Southwark,Inner London,11.14,318830,Labour,7.4898848916350405
Sutton,2024,1399000,Sutton,Outer London,16.93,206349,LibDem,6.779776010545241
Tower Hamlets,2024,542000,Tower Hamlets,Inner London,7.63,324745,Labour,1.6690018322068083
Waltham Forest,2024,2467000,Waltham Forest,Outer London,14.99,276983,Labour,8.906683803699144
Wandsworth,2024,1400000,Wandsworth,Inner London,13.23,329677,Labour,4.246580744182943
,,,City of London,Inner London,1.12,9721,Labour,
